title,subtitle,link,link2,link3,image
تشجيع الطلاب المتفوقين دراسياً,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_008.pdf,,,
مراجعة إدارة شئون طلاب البرامج التخصصية للأهمية,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_007.pdf,,,
الجدول الرسمي لامتحانات منتصف الفصل الدراسي – خريف 2024,لمزيد من المعلومات برجاء الاطلاع على الملفات المرفقة,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_006.pdf,,,
غلق مرحلة تقديم التماسات على نتيجة مراجعة شهادات التدريب الصناعي – صيف 2024,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_005.pdf,,,
إصدار الكتاب الأول,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_004.pdf,,,
امتحان اللغة الإنجليزية,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_003.pdf,,,
جدول امتحانات التدريب الصناعي – صيف 2024,لمزيد من المعلومات برجاء الاطلاع على الملفات المرفقة,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_002.pdf,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_002-IT-JURY-Schedule02-to-web.pdf,,
نتيجة المراجعة الإدارية للنسخة الإلكترونية لشهادة التدريب الصناعي – صيف 2024,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_001.pdf,,,
إجراءات إلتحاق طلاب شهادات الثانوية المعادلة (العربية والأجنبية) بالبرامج التخصصية بنظام الساعات المعتمدة – العام الجامعي 2025/2024,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/SU24-ADM_AN_026.pdf,,,
مرحلة تقديم طلب تحسين مقرر دراسي – خريف 2024,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/SU24-ADM_AN_025.pdf,,,
تعديل نظام العمل بمكتب إدارة شئون طلاب البرامج التخصصية,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/SU24-ADM_AN_024.pdf,,,
التذكرة بمرحلة تسليم النسخة الإلكترونية من شهادة التدريب الصناعي للمراجعة الإدارية – صيف 2024,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/SU24-ADM_AN_023.pdf,,,
تسجيل مقرر اللغة الإجنبية – خريف 2024,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/SU24-ADM_AN_022.pdf,,,
مرحلة تسليم النسخة الإلكترونية من شهادة التدريب الصناعي للمراجعة الإدارية – صيف 2024,لمزيد من المعلومات برجاء الاطلاع على الملفات المرفقة,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/SU24-ADM_AN_021.pdf,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/SU24-ADM_AN_021-IT-Certificate-UPLOADING-manual-03.pdf,,
مرحلة تسجيل المقررات الدراسية لفصل خريف 2024,لمزيد من المعلومات برجاء الاطلاع على الملفات المرفقة,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/SU24-ADM_AN_020.pdf,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/SU24-ADM_AN_020-Registration-Rules-Calendar_Fall-2024.pdf,,
إعلان نتيجة الجولة الثانية لتنسيق رغبات التخصص لطلاب المستوى العام (كود 123),لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/SU24-ADM_AN_019.pdf,,,
